,0
285,21.164412517471014
286,22.425856875976866
287,23.03259295080274
288,22.23947525904836
289,22.17253140622302
290,23.731020507299622
291,22.523051754257875
292,22.321208303877892
293,21.6531514224773
294,20.926660200456457
295,19.96049463063326
296,20.426598263747987
297,21.880719774469295
298,21.747071952308726
299,21.827765120070513
300,21.76087692333473
301,22.2454153685819
302,23.197814010475653
303,22.924186261545447
304,21.121307686165537
305,21.18771191187068
306,21.937187256069034
307,21.267196047673277
308,21.200615625231485
309,22.27497017228919
310,21.146920611583415
311,22.357723879601473
312,21.898182857256685
313,23.402247822507036
314,21.42726033377705
315,20.905990337735396
316,21.37358256556089
317,21.173525744024513
318,21.926722322403773
319,20.66454982674283
320,21.06476392235391
321,23.453302105714904
322,20.344618548052658
323,21.751772871374715
324,21.83380657512434
325,20.88936515590218
326,23.000665567674837
327,21.036213437618155
328,20.701125399370344
329,21.170772874458216
330,20.847458069560457
331,11.613472811937644
332,12.945652300611524
333,12.769236718978503
334,13.239347490118206
335,11.725608218463108
336,13.654476659686992
337,13.417523747187829
338,12.241699273305239
339,12.70795163824913
340,12.70795163824913
341,13.536637879374005
342,13.17960442692315
343,12.530835848611662
344,12.355201083293156
345,13.357936777711519
346,12.883139136757741
347,13.1200456784952
348,13.238788002173358
349,13.417774495327487
350,13.000563621687627
351,13.059661649827344
352,13.119266801949905
353,12.465841302033578
354,12.2301814739601
355,12.939587971102767
356,13.17861952974997
357,11.407300600552423
358,12.700677562633908
359,12.641248162122274
360,12.22526078934322
361,12.52136371905844
362,12.342065661022747
363,12.282825363991149
364,13.17809236218255
365,11.632593282945756
366,12.162774436786597
367,11.220496789986866
368,12.22036376271545
369,12.69713641810671
370,10.752886971253997
371,12.456994143965673
372,13.238352303263431
373,12.455743406735998
374,11.7404959153944
375,11.504501652399815
376,10.798651844568877
377,10.973602915831442
378,10.91156476564194
379,11.087144494181507
380,10.499728933080986
381,9.921795731454223
382,10.84941746606634
383,11.552805035383772
384,11.316082289801786
385,9.509909691905632
386,9.04668928550351
387,11.428636147893304
388,10.312004789449476
389,10.952136231377867
390,11.664122578096732
391,8.75620287074628
392,11.366357539975013
393,11.601884891496002
394,10.591242234728082
395,11.122647029235583
396,10.704925465820997
397,11.178776876120027
398,11.776839752203339
399,11.534185841636916
400,10.108470837327777
401,12.074687572600908
402,11.589033367182093
403,10.633750093588414
404,10.452082801627398
405,11.225735411650538
406,11.402944893993402
407,10.923276670553182
408,10.21146365387242
409,7.276306463342519
410,8.057054226048944
411,8.628482328777926
412,8.342020526329701
413,7.15516957940482
414,8.27718271577716
415,8.563793408035755
416,8.498948304501985
417,10.133150242329242
418,11.392181495654823
419,10.068975920763739
420,10.90144777138576
421,10.90144777138576
422,10.961759105777976
423,11.504781719547449
424,10.416924205919113
425,11.382845852011261
426,10.77332684331626
427,10.95463129386872
428,11.744875546203964
429,11.06907906104982
430,11.55810087309626
431,11.86592610365526
432,11.06571052896182
433,11.06571052896182
434,9.681139571318937
435,10.761747934973947
436,11.371333779415178
437,11.184564942914992
438,11.915843883212071
439,12.03978154940582
440,11.4159168770264
441,12.667781970844352
442,11.722040969979815
443,18.414760702302452
444,15.403069321309218
445,21.603465516306418
446,20.44119329137707
447,22.442370041449173
448,19.00051627835318
449,20.514143741583823
450,18.504371332291708
451,18.868727606897895
452,19.74061330073488
453,20.923176822345855
454,20.628429342168083
455,20.408297147000077
456,19.535787744007603
457,18.757274316901935
458,17.977368709013362
459,22.529780641962986
460,20.952151397164652
461,19.4869453867719
462,20.37517501473122
463,18.430530792453702
464,21.130425825923076
465,20.847020451159537
466,18.450097188181502
467,21.536265782031865
468,18.593506412991484
469,16.345871486660858
470,20.429432471976472
471,17.684340874384034
472,17.968781454671458
473,20.60598766062003
474,16.846088764725405
475,19.362110455666322
476,17.843869234721403
477,19.362110455666322
478,18.139415919582976
479,19.52074559122215
480,18.07686332246878
481,16.866913547615283
482,18.50990080959882
483,18.01414948602789
484,17.58397139458254
485,19.705231865664935
486,17.663966053995125
487,16.9517144434988
488,17.100952476719005
489,20.47954528140958
490,19.137570148324574
491,18.916801400872384
492,17.11601315438749
493,19.07521034316661
494,18.05120748232748
495,17.698444717771455
496,19.457325694804204
497,17.779553227904763
498,18.508387096889333
499,23.554550676498817
500,17.426687239495514
501,17.362719414236587
502,18.088973866057366
503,17.870148227630573
504,16.438207912060875
505,18.53946470936676
506,18.549911108419483
507,19.21885220871221
508,17.81541577102698
509,19.3056215005792
510,17.97094083742791
511,16.81654425088932
512,19.543484601443577
513,18.581580385842994
514,17.25913989296734
515,16.68654716776382
516,16.765842143900088
517,20.88521972012221
518,18.45383880808958
519,17.502377874206868
520,17.575816860378257
521,18.47480209649976
522,19.53059282173909
523,17.732013368622024
524,17.152396353182887
525,18.335753892103927
526,19.46752009143478
527,17.75940852256032
528,17.611096924924848
529,21.35569975099458
530,17.323944022524337
531,18.517321711246773
532,18.66820308834575
533,16.963593503834268
534,20.14904665913489
535,17.340761929894217
536,19.070785983988817
537,17.11880588589064
538,17.796563093464272
539,18.7889386608676
540,17.29178926090243
541,22.01754827339585
542,17.515628553385064
543,17.002522197177832
544,16.485138965731057
545,17.151191221570688
546,20.377632898200375
547,17.617696471833185
548,21.026905065219648
549,16.063477970712523
550,18.6927476982044
551,17.853660150209375
552,17.78749947891998
553,20.501965208582213
554,19.570195419136667
555,24.712121911563695
556,19.114802089439188
